File,Language,Size,Range,Type,PKG_Energy,RAM_Energy,Cache Misses,Time
perf_output36.txt,python,1000,799,1,2.32,0.26,190186,0.022664553
perf_output63.txt,python,1000,229,1,2.32,0.26,202977,0.023077744
perf_output83.txt,python,1000,760,1,2.32,0.26,198260,0.022764965
perf_output92.txt,python,1000,882,1,2.31,0.26,200138,0.022904177
perf_output12.txt,python,1000,431,1,2.31,0.26,192576,0.022831634
perf_output80.txt,python,1000,372,1,2.32,0.26,196419,0.022759789
perf_output56.txt,python,1000,660,1,2.25,0.25,191113,0.022661838
perf_output76.txt,python,1000,790,1,2.30,0.26,200444,0.022784700
perf_output93.txt,python,1000,159,1,2.30,0.25,200453,0.022753536
perf_output99.txt,python,1000,11,1,2.32,0.26,196396,0.022873576
perf_output78.txt,python,1000,441,1,2.27,0.25,198895,0.022683308
perf_output7.txt,python,1000,656,1,2.28,0.25,196804,0.022771047
perf_output18.txt,python,1000,785,1,2.32,0.26,190860,0.022658049
perf_output66.txt,python,1000,63,1,2.32,0.26,193020,0.022898467
perf_output55.txt,python,1000,395,1,2.31,0.26,198982,0.022855291
perf_output8.txt,python,1000,282,1,2.28,0.25,202059,0.022759906
perf_output27.txt,python,1000,431,1,2.26,0.25,196955,0.022636949
perf_output42.txt,python,1000,166,1,2.31,0.26,202286,0.022983494
perf_output60.txt,python,1000,84,1,2.30,0.26,202933,0.022889682
perf_output3.txt,python,1000,389,1,2.31,0.26,196485,0.022780326
perf_output22.txt,python,1000,258,1,2.28,0.25,200148,0.022826611
perf_output16.txt,python,1000,704,1,2.32,0.26,199169,0.022910363
perf_output21.txt,python,1000,286,1,2.31,0.27,768822,0.022830237
perf_output48.txt,python,1000,658,1,2.31,0.26,201731,0.022851406
perf_output69.txt,python,1000,521,1,2.27,0.25,198163,0.022829671
perf_output98.txt,python,1000,712,1,2.32,0.27,1018326,0.023067874
perf_output71.txt,python,1000,225,1,2.32,0.26,198017,0.022795995
perf_output30.txt,python,1000,655,1,2.31,0.26,198880,0.022733517
perf_output73.txt,python,1000,981,1,2.32,0.26,193019,0.022798020
perf_output91.txt,python,1000,627,1,2.32,0.26,197388,0.022948207
perf_output57.txt,python,1000,955,1,2.32,0.26,198174,0.022785655
perf_output38.txt,python,1000,58,1,2.31,0.27,582107,0.023002112
perf_output40.txt,python,1000,654,1,2.32,0.26,200222,0.022786927
perf_output2.txt,python,1000,426,1,2.28,0.25,194960,0.022733868
perf_output26.txt,python,1000,947,1,2.28,0.25,202876,0.022765554
perf_output25.txt,python,1000,524,1,2.31,0.26,194353,0.022909891
perf_output52.txt,python,1000,926,1,2.31,0.26,194918,0.022919981
perf_output62.txt,python,1000,392,1,2.31,0.26,201273,0.022864077
perf_output100.txt,python,1000,551,1,2.33,0.26,198416,0.023092637
perf_output41.txt,python,1000,845,1,2.26,0.25,193833,0.022874273
perf_output33.txt,python,1000,37,1,2.25,0.25,192737,0.022874171
perf_output15.txt,python,1000,273,1,2.28,0.25,208201,0.022880158
perf_output23.txt,python,1000,365,1,2.32,0.25,197066,0.022685784
perf_output10.txt,python,1000,797,1,2.32,0.26,201101,0.022846690
perf_output79.txt,python,1000,990,1,2.32,0.26,196110,0.022726090
perf_output32.txt,python,1000,779,1,2.32,0.26,199720,0.022740956
perf_output88.txt,python,1000,166,1,2.31,0.26,195700,0.022727547
perf_output28.txt,python,1000,76,1,2.38,0.26,204954,0.023017374
perf_output82.txt,python,1000,360,1,2.33,0.26,201196,0.023368150
perf_output6.txt,python,1000,932,1,2.32,0.26,208168,0.022948643
perf_output51.txt,python,1000,516,1,2.33,0.26,196994,0.022942051
perf_output39.txt,python,1000,495,1,2.33,0.26,212093,0.023056528
perf_output81.txt,python,1000,999,1,2.35,0.28,1076880,0.023162633
perf_output86.txt,python,1000,393,1,2.32,0.26,200836,0.022831083
perf_output1.txt,python,1000,549,1,2.28,0.25,195826,0.022734919
perf_output13.txt,python,1000,536,1,2.32,0.26,195975,0.022571323
perf_output29.txt,python,1000,94,1,2.33,0.26,208140,0.022908975
perf_output31.txt,python,1000,897,1,2.38,0.26,200168,0.022984197
perf_output53.txt,python,1000,952,1,2.32,0.26,200992,0.022955032
perf_output89.txt,python,1000,199,1,2.31,0.26,193819,0.022933167
perf_output77.txt,python,1000,131,1,2.26,0.25,196651,0.022799495
perf_output20.txt,python,1000,386,1,2.32,0.26,196936,0.022956697
perf_output11.txt,python,1000,955,1,2.32,0.26,196796,0.022952659
perf_output43.txt,python,1000,523,1,2.31,0.26,194400,0.022848315
perf_output9.txt,python,1000,775,1,2.32,0.26,196605,0.023007017
perf_output5.txt,python,1000,79,1,2.25,0.25,202397,0.022730722
perf_output35.txt,python,1000,956,1,2.31,0.26,195944,0.022745384
perf_output58.txt,python,1000,809,1,2.26,0.25,191882,0.022736910
perf_output90.txt,python,1000,962,1,2.26,0.25,197390,0.022777680
perf_output49.txt,python,1000,504,1,2.30,0.25,202019,0.022876906
perf_output97.txt,python,1000,480,1,2.38,0.26,193726,0.023088796
perf_output14.txt,python,1000,685,1,2.33,0.26,203755,0.023003700
perf_output94.txt,python,1000,994,1,2.31,0.26,193032,0.022767925
perf_output85.txt,python,1000,915,1,2.37,0.26,202692,0.022844282
perf_output37.txt,python,1000,579,1,2.39,0.26,205325,0.023184598
perf_output65.txt,python,1000,593,1,2.26,0.25,200331,0.022811730
perf_output45.txt,python,1000,751,1,2.31,0.26,198676,0.022775972
perf_output72.txt,python,1000,405,1,2.33,0.26,205461,0.023078470
perf_output54.txt,python,1000,676,1,2.31,0.26,197436,0.022772532
